date,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2020-08-06,147.98,34,0.0179325024925199,0.019757940650915202
2020-08-07,147.96,61,0.005829339356861495,0.019293574518944066
2020-08-10,140.02,34,-0.02273627558118039,0.021707963268691458
2020-08-11,143.54,25,0.019486389162051813,0.02199940143399993
2020-08-12,142.0,28,-0.007996114709190564,0.021895895151833867
2020-08-13,146.06,11884080,0.009700464769819497,0.02217965121122751
2020-08-14,143.75,10799960,-0.014777233406344245,0.02193243985811156
2020-08-17,142.0,18,-0.01336104658082149,0.020271156829906968
2020-08-18,143.91,25,-0.00034737902874780333,0.020259416789704186
2020-08-19,145.69,4,0.014658355526302005,0.014495931127315443
2020-08-20,147.53,22,0.021859917285348276,0.014373914536886422
2020-08-21,148.02,34,0.02510649366037625,0.01615980394558081
2020-08-24,146.8,28,0.004232377128169622,0.013487253810696851
2020-08-25,143.72,7191980,-0.013820009895045032,0.013387335666109505
2020-08-26,143.91,7,-0.02802416958203284,0.016175230052084214
2020-08-27,141.89,38,-0.011422288791264208,0.015627159567294338
2020-08-28,138.88,45,-0.0193959303475793,0.015866508345498943
2020-08-31,137.67,55,-0.012344498935521041,0.01586151625907671
2020-09-01,137.47,76,-0.002905500700208998,0.015467830904780079
2020-09-02,137.05,11742450,-0.0032780943578311177,0.014963250716697046
2020-09-03,136.5,12736870,-0.0037293012400028093,0.013742954660993734
2020-09-04,134.04,30,-0.04271813661922946,0.015761015634495758
2020-09-07,137.99,24,0.021314023246096055,0.016796039183190666
2020-09-08,135.31,10,-0.010732240617906919,0.01673049651090199
2020-09-09,137.91,25,0.009983686496112025,0.014408430665780353
2020-09-10,139.5,31,0.019106095737068493,0.015054864465948557
2020-09-11,136.0,14,-0.02289760223584781,0.01530226214420587
2020-09-14,137.79,10384740,-0.00434499923202709,0.015607030652303105
2020-09-15,141.88,48,0.014125230417081944,0.016215573522341983
2020-09-16,143.91,54,0.028689192274856876,0.017694112215243096
2020-09-17,150.11,19,0.030711288095515335,0.018746074399666766
2020-09-18,143.92,29,-0.03253875578677384,0.017166989337750464
2020-09-21,143.9,21,-0.01626724594948289,0.018483956264623583
2020-09-22,144.57,16457850,0.01624804755475645,0.018720761530254412
2020-09-23,143.92,37,-0.02470617016600616,0.019942023930322243
2020-09-24,142.88,45,-0.007113496765133283,0.019637212803350523
2020-09-25,144.0,26,-0.008987271000236675,0.01894297025875767
2020-09-28,149.86,3,0.0353844935140206,0.020110929296445406
2020-09-29,149.86,40,0.015873349156290163,0.020231200136741193
