date,price_TCSG,volume_TCSG,log_return_TCSG,volatility_TCSG,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2022-05-13,2130.0,254467,0.0471014500050982,0.08055342972653376,87.71,19,-0.0029599293012930214,0.026823334800110104
2022-05-16,2185.0,202575,0.025493848826219766,0.08123188591730549,89.0,2,0.00789626212222554,0.02578995287500307
2022-05-17,2380.0,246823,0.0854846591358299,0.08455424563017871,90.4,9,0.014933967504574638,0.02456052854193377
2022-05-18,2402.0,475508,0.00920123597440844,0.08421648041003271,97.28,6,0.06596497663812977,0.028611507860595936
2022-05-19,2236.5,325695,-0.07138957976702608,0.08526160073809441,90.14,1476160,-0.010264424317224926,0.031596530951868824
2022-05-20,2194.0,257861,-0.019185782037727233,0.08316160371024786,94.97,9,0.04270154573801103,0.03165091547264396
2022-05-23,2129.0,153364,-0.030073975941696078,0.08216921911900821,91.43,10,0.020218332195450512,0.028745613656406172
2022-05-24,2146.5,244100,0.008186222771135818,0.08200284081293632,89.32,11,0.009222874958073224,0.029708278466066242
2022-05-25,2155.5,203901,0.004184106522574091,0.08169960196935437,88.93,1286890,0.002589654096014879,0.02933544131974388
2022-05-26,2220.5,262885,0.02970968054496773,0.07963827277722473,90.01,9,0.012071231857445174,0.029420744888967915
2022-05-27,2201.0,182580,-0.00882059320569524,0.06859662012845516,91.5,20,0.013755375068485419,0.02936004775051007
2022-05-30,2164.0,171992,-0.01695344156008955,0.06638829420460446,89.21,1397580,-0.016012796275168047,0.02968269153821882
2022-05-31,2111.5,121597,-0.02455976559237382,0.04852829866105138,87.05,9,-0.08707838604066315,0.03849399560828514
2022-06-01,2110.5,114220,-0.0004737091514448458,0.045023537335073346,88.0,12,0.0,0.03836218576671189
2022-06-02,2105.0,73102,-0.00260941910607165,0.044755766136946235,86.25,4,-0.014388737452099556,0.031961474264968
2022-06-03,2018.0,154741,-0.04220854520292758,0.042207564453458746,87.51,4,0.00906853485640374,0.03195129095739106
2022-06-06,1900.0,259637,-0.060253035759022446,0.04309802349952035,86.95,31,-0.01992664851524174,0.02790622494438864
2022-06-07,1859.5,239290,-0.02154625178940706,0.0415455125320159,86.9,19,0.003689190257512022,0.026543857707954012
2022-06-08,1886.0,178277,0.01415054982827814,0.04174384987471324,86.35,1807900,0.0024349249667231228,0.026474471721611607
2022-06-09,1777.0,281908,-0.05953163503875146,0.03790141720931122,86.49,7,-0.011609993045148283,0.026587432284910652
2022-06-10,1701.0,242283,-0.04371023575878956,0.03653102579319385,86.12,4,0.002674264718028864,0.026344097625864683
2022-06-14,1597.0,288914,-0.06308944418084929,0.037206043835493585,86.99,12,0.014940343915715288,0.026399429156220604
2022-06-15,1651.5,193735,0.03355709661583195,0.031083301240988223,86.99,19,0.01715984135158534,0.011156605219030561
2022-06-16,1737.0,201374,0.05047552141026058,0.03421559237779832,85.99,13,0.007002012503290329,0.0117296316925979
2022-06-17,1726.5,13400,-0.006063249411057856,0.031695795153184304,86.05,1731010,-0.012013544047099877,0.01193605407057763
2022-06-17,1676.0,232791,-0.02968623578801866,0.031891049824074216,86.05,1731010,-0.012013544047099877,0.01193605407057763
2022-06-20,1725.0,218670,0.028817048423431697,0.03297714069725035,88.45,3980320,0.021599605507622823,0.012755124539771812
2022-06-21,1673.0,169458,-0.030608628478636154,0.03295980348845772,87.18,6,-0.006516915535728542,0.011748743127686994
2022-06-22,1649.0,121267,-0.014449378427225075,0.03272706723450528,86.68,2,-0.0062104857464619625,0.01176444089945678
2022-06-23,1654.5,166657,0.0033298048020679386,0.03140331075230304,88.97,4,0.02723039224284146,0.013068695545851884
2022-06-24,1635.0,96328,-0.011856044030313097,0.031380667589567625,88.51,24,0.007940150608881345,0.012954381556794733
2022-06-27,1672.0,121852,0.02237771031329315,0.0324567474480697,90.8,5,0.015874230213947012,0.013308126232772631
2022-06-28,1927.0,503868,0.14194387476971937,0.047277921891512004,87.95,3143660,-0.02581512602942308,0.0144280959468529
2022-06-29,1810.0,477856,-0.06263754415449495,0.04900615772165735,86.9,3923480,-0.0120104389122208,0.014138491965743643
2022-06-30,1804.0,337016,-0.0033204236373024112,0.04900254363781095,85.3,22,-0.010147634754042045,0.013270540881773365
2022-07-01,1861.0,148102,0.0311075560196817,0.049028684598047295,85.36,3657380,-0.004791688008832212,0.01291371922815255
2022-07-04,2012.0,293749,0.07801527457737914,0.050415301863244485,85.0,10,-0.004226350503181466,0.012679548605031316
2022-07-05,2039.0,321610,0.013330239354825328,0.0501289022793405,85.06,7,0.0004703668948434446,0.011435480733970464
2022-07-06,2100.0,226331,0.02947785313705909,0.05039890638856409,88.99,1,0.04281859253170651,0.014996895670444313
2022-07-07,2031.0,121199,-0.03340906213112963,0.04894584157314357,85.31,1622230,-0.0019907495303435347,0.017571238515401735
2022-07-08,2013.0,115447,-0.008902135940593154,0.047661776373809556,85.2,1575930,-0.0012902470853332856,0.017571410441161662
2022-07-11,1980.0,159035,-0.016529301951210582,0.045050663030278576,84.48,2215400,-0.00965963453968206,0.016198547502310867
2022-07-12,1943.5,117867,-0.018606373396303104,0.045170500127902524,83.48,5820670,-0.011907737748951347,0.016169796582619883
2022-07-13,1895.0,150571,-0.025271632775751156,0.044606062896031744,88.05,17,0.050426937364416106,0.019597638362470422
2022-07-14,1879.5,81359,-0.008213054512294033,0.04463506548506268,81.91,9,0.004404754460487701,0.025431714044368524
2022-07-15,1901.5,117788,0.01163726436408162,0.04393259677303111,81.81,2,-0.0010995053334168876,0.02533229397864359
2022-07-18,1876.0,123745,-0.013501197802144408,0.043810538628166286,87.15,4,0.05483247862539466,0.02833893506279623
2022-07-19,1813.5,85325,-0.03388317084321295,0.04395334000683221,82.11,6,-0.009816475846881518,0.03055863148579973
2022-07-20,1771.0,136217,-0.023714320940123514,0.04420647196920167,82.54,7,0.00595420678833595,0.03060193154922835
2022-07-21,1759.0,107381,-0.006798893045275363,0.044267329545135584,82.37,1175990,-0.0007281553719788158,0.028748348882014177
2022-07-22,1854.0,225556,0.05260000138824232,0.045454446043558194,82.62,7,0.00036317414599290886,0.02746695675490357
2022-07-25,1969.5,206901,0.06043423628516011,0.04693599561907554,89.0,5,0.048222909358531234,0.030176898873724038
2022-07-26,1994.5,251050,0.01261368893450078,0.034905431154347404,86.43,7,0.021046024082532425,0.03250491292518412
2022-07-27,1963.0,157744,-0.015919477069000227,0.03179654618228259,86.31,16,-0.00450841755492989,0.03043036627037322
2022-07-28,1947.5,100804,-0.007927416531557777,0.03186941161031955,85.12,11,-0.01608238834449932,0.02502958243959048
2022-07-29,1950.0,98970,0.0012828738128891231,0.031216811445169888,86.3,1,0.003947526315072522,0.025073637709993497
2022-08-01,1884.5,130864,-0.03416683885060231,0.026646920107790153,84.91,2370230,-0.015078305658375467,0.0220113073279613
2022-08-02,1810.0,134778,-0.040335688447318725,0.027572914193570344,82.99,16,-0.022871753400915497,0.019583732984171386
2022-08-03,1836.0,104562,0.014262446920564371,0.02674113657579084,83.24,7,0.005058423408012484,0.01947939930043802
2022-08-04,1869.5,82854,0.018081723236732645,0.026513815891582408,82.45,3,-0.004477529111813179,0.01950473861200929
2022-08-05,1859.0,169459,-0.00563230669572442,0.026492997492186716,81.67,6,-0.02000187902258688,0.02016327941462817
2022-08-08,1891.5,99828,0.01733145635163994,0.02672966272146393,87.88,22,0.07758025875626362,0.026177760476875967
2022-08-09,1917.5,84269,0.013652089168327263,0.02666624294226781,82.9,1955580,0.01238030134816069,0.026513184034541396
2022-08-10,2045.0,296984,0.06437553523549083,0.02967822511115879,83.16,1887030,0.003131400848562853,0.026026153913372724
2022-08-11,2149.5,440828,0.049837467459434195,0.031238258279047908,83.81,4362540,0.007785869121002771,0.026094619922553894
2022-08-12,2230.0,364594,0.03676632851782822,0.03194419823753302,85.76,3025580,0.004440815992675926,0.02648777869504732
2022-08-15,2252.0,253736,0.009817124805416454,0.03154238020490481,86.8,7,0.012053924343812621,0.026359549531849442
2022-08-16,2415.5,360890,0.0700875947348803,0.032628622888047375,86.0,4,-0.009720048756583404,0.026360716149347194
2022-08-17,2430.5,615232,0.006190692491048923,0.031457518267886286,85.6,3,-0.009070884384858683,0.02623096849003288
2022-08-18,2480.0,258785,0.020161562673517673,0.031011384726327237,85.99,12,0.008173796091787014,0.025709505268500073
2022-08-19,2700.0,588102,0.0849932128333925,0.0336892021701604,85.75,8,0.004089985251525066,0.025733100518113654
2022-08-22,2720.0,1279967,0.00738010729762246,0.03229799954410331,88.17,6258000,0.01600582929353731,0.025902474442527895
2022-08-23,2717.0,459010,-0.0011035498636952578,0.03252175247664959,88.39,3233210,0.00567280849630282,0.025323336479503546
2022-08-24,2579.5,973007,-0.051932748741643116,0.03523429265916486,89.0,8,0.005633817718256064,0.00793944266977978
2022-08-25,2626.0,424089,0.017866194178036955,0.03487290024204702,87.75,5,-0.002049181044935681,0.008548260784639992
2022-08-26,2630.0,122484,0.0015220703090686718,0.03486800854493772,89.0,7,0.005407854549291003,0.007769666472499312
2022-08-29,2715.0,238994,0.031808107196225684,0.03304929371276647,90.25,11,0.010582109330537008,0.007662374476626031
2022-08-30,2688.5,392641,-0.009808536118303023,0.030831348203412413,89.89,11,-0.006763150120572523,0.007442171444043279
2022-08-31,2712.5,202561,0.00888730159898222,0.030905340957372587,92.52,5,0.031511637312096365,0.009587350581460543
2022-09-01,2738.5,145096,0.009539606375061122,0.030985099845476663,95.96,12812420,0.05858158726561334,0.01667968325005422
2022-09-02,2766.5,185242,0.010172658114388474,0.030519523043456235,95.75,18,0.00628603431859679,0.016743609274933118
2022-09-05,2754.0,103410,-0.004528583049564252,0.03100310121917553,95.0,15,-0.009220517965642716,0.016776372372686504
2022-09-06,2670.0,325101,-0.030975927894304905,0.032937583108665354,95.03,22,-0.003990763540530662,0.01678919118617416
2022-09-07,2714.0,172725,0.01634508900051919,0.0309587902981243,95.24,23,-0.005862663358152893,0.016943573250194226
2022-09-08,2768.5,615342,0.019882095868207498,0.029846061023274043,93.39,8,-0.007042282625412811,0.01708704795019394
2022-09-09,2787.0,185922,0.0066600912189262685,0.02932049237774976,95.24,2646980,0.01843858532402067,0.017392665861798575
2022-09-12,2950.0,548047,0.05683942185191733,0.031042835089748325,96.05,4457570,0.0162690547148686,0.017748883490524957
2022-09-13,3010.0,588777,0.020134908409055807,0.028122410571202048,98.35,11,-0.08551050543939871,0.03623936954752145
2022-09-14,2994.0,369789,-0.005329792763347715,0.028343257875848748,99.99,6,0.05087754976453399,0.03826723403982257
